address,suburb,earliest_confirmed_year,min_age_years,lead_score,age_confidence,address_match,area_m2,lot_m2,length_m,width_m,rect_fill,category,contact_name,contact_phone,contact_email,contact_website,postcode,council,pools_at_address,lat,lon,osm_id
2 CECIL ROAD ROSE BAY,ROSE BAY,1986,40,94.6,1.0,exact,71.0,1640.1,13.6,7.9,0.667,residential,,,,,2029,WOOLLAHRA,2,-33.8653817,151.2749819,way/875118002
7 KARDINIA ROAD MOSMAN,MOSMAN,1986,40,94.6,1.0,exact,42.6,2039.9,9.1,7.0,0.665,residential,,,,,2088,MOSMAN,,-33.8415659,151.2506794,way/1534247378
6 THE BOULEVARD CHELTENHAM,CHELTENHAM,1986,40,94.6,1.0,exact,43.6,1636.0,10.0,6.4,0.68,residential,,,,,2119,HORNSBY,,-33.7568897,151.0780608,way/1333443554
15 LITTLE WILLANDRA ROAD CROMER,CROMER,1986,40,94.6,1.0,exact,38.7,1262.6,8.6,7.2,0.632,residential,,,,,2099,NORTHERN BEACHES,2,-33.736613,151.2706001,way/1364293457
19 WELHAM STREET BEECROFT,BEECROFT,1986,40,94.4,0.99,exact,38.7,2344.6,8.5,7.2,0.634,residential,,,,,2119,HORNSBY,,-33.7551225,151.0650541,way/1334662923
13 RANGERS RETREAT ROAD FRENCHS FOREST,FRENCHS FOREST,1986,40,94.4,0.99,exact,51.4,2821.2,11.3,6.4,0.715,residential,,,,,2086,NORTHERN BEACHES,,-33.7555052,151.2300582,way/868509309
49 WRIGHT STREET GLENBROOK,GLENBROOK,1986,40,94.2,0.98,exact,30.3,1949.8,8.0,5.4,0.701,residential,,,,,2773,BLUE MOUNTAINS,,-33.7719256,150.6175945,way/963361203
17 ALLIANCE AVENUE REVESBY,REVESBY,1986,40,94.0,0.97,exact,56.1,1408.2,10.1,7.8,0.712,residential,,,,,2212,CANTERBURY-BANKSTOWN,,-33.9408665,151.0055783,way/556651554
77 QUEEN STREET REVESBY,REVESBY,1986,40,94.0,0.97,exact,86.5,1353.1,12.5,12.0,0.579,residential,,,,,2212,CANTERBURY-BANKSTOWN,,-33.9430283,151.0105842,way/556651560
34-40 SPENCER STREET ROSE BAY,ROSE BAY,1986,40,93.3,0.93,exact,54.2,3541.9,15.2,7.1,0.5,residential,,,,,2029,WOOLLAHRA,2,-33.8696958,151.2745367,way/875174240
188B BEECROFT ROAD CHELTENHAM,CHELTENHAM,1986,40,93.3,0.93,exact,36.4,2318.3,9.2,5.9,0.674,residential,,,,,2119,HORNSBY,,-33.7597672,151.0764067,way/930832616
87 WENTWORTH ROAD VAUCLUSE,VAUCLUSE,1986,40,93.1,0.92,exact,35.9,1856.9,8.6,8.4,0.499,residential,,,,,2030,WOOLLAHRA,,-33.8524741,151.2747772,way/1186661961
8 MURRAY ROAD BEECROFT,BEECROFT,1986,40,92.6,0.89,exact,30.1,3723.0,7.9,5.6,0.685,residential,,,,,2119,HORNSBY,3,-33.7551633,151.0716101,way/1332757896
45 GOWLLAND PARADE PANANIA,PANANIA,1986,40,92.5,1.0,exact,66.1,822.9,12.9,7.5,0.682,residential,,,,,2213,CANTERBURY-BANKSTOWN,,-33.9444372,151.0046534,way/556873959
877 NEW SOUTH HEAD ROAD ROSE BAY,ROSE BAY,1986,40,92.5,1.0,exact,37.0,1083.6,8.4,6.7,0.662,residential,,,,,2029,WOOLLAHRA,,-33.8665732,151.2725682,way/875117992
11 FERNLEIGH AVENUE ROSE BAY,ROSE BAY,1986,40,92.5,1.0,exact,71.0,1061.5,12.7,8.3,0.675,residential,,,,,2029,WOOLLAHRA,,-33.8685523,151.2713765,way/875174312
