address,suburb,postcode,council,earliest_confirmed_year,min_age_years,lead_score,age_confidence,address_match,area_m2,lot_m2,length_m,width_m,rect_fill,category,pools_at_address,reno_state,ti_now,contact_name,contact_phone,contact_email,contact_website,lat,lon,osm_id
2 CECIL ROAD ROSE BAY,ROSE BAY,2029,WOOLLAHRA,1986,40,93.0,1.0,exact,71.0,1640.1,13.6,7.9,0.667,residential,2,original_finish,0.844,,,,,-33.8653817,151.2749819,way/875118002
13 RANGERS RETREAT ROAD FRENCHS FOREST,FRENCHS FOREST,2086,NORTHERN BEACHES,1986,40,92.9,0.99,exact,51.4,2821.2,11.3,6.4,0.715,residential,,original_finish,1.088,,,,,-33.7555052,151.2300582,way/868509309
86-88 LETHBRIDGE STREET PENRITH,PENRITH,2750,PENRITH,1986,40,91.6,1.0,exact,53.2,3754.1,10.7,6.0,0.822,residential,,original_finish,0.837,,,,,-33.7576251,150.7030149,way/965485256
138A BEECROFT ROAD BEECROFT,BEECROFT,2119,HORNSBY,1986,40,91.6,1.0,exact,49.9,1580.3,10.3,6.3,0.771,residential,,original_finish,1.065,,,,,-33.7561781,151.069711,way/1332577733
67 GROVER AVENUE CROMER,CROMER,2099,NORTHERN BEACHES,1986,40,91.6,1.0,exact,33.5,1477.3,9.6,4.4,0.788,residential,,original_finish,0.876,,,,,-33.7349905,151.2685566,way/1364988924
50 HARDY STREET DOVER HEIGHTS,DOVER HEIGHTS,2030,WAVERLEY,1986,40,91.0,0.95,exact,45.3,1430.4,10.5,5.4,0.8,residential,,original_finish,0.982,,,,,-33.8761872,151.2778021,way/955843389
56 WASHINGTON AVENUE CROMER,CROMER,2099,NORTHERN BEACHES,1986,40,90.8,0.94,exact,38.9,1472.5,9.3,5.2,0.804,residential,,original_finish,0.958,,,,,-33.7333617,151.2705852,way/1426664568
13 FAIRLIGHT ROAD MULGOA,MULGOA,2745,PENRITH,1991,35,90.7,0.93,exact,43.5,2938.6,9.8,6.1,0.726,residential,,neglected,1.143,,,,,-33.836832,150.6485444,way/817634085
10 PARK AVENUE GORDON,GORDON,2072,KU-RING-GAI,1986,40,90.5,0.91,exact,69.5,1349.6,13.1,6.5,0.819,residential,,original_finish,1.0,,,,,-33.7532329,151.1540626,way/1330087186
11 PHILIP ROAD MONA VALE,MONA VALE,2103,NORTHERN BEACHES,1986,40,90.5,0.91,exact,36.6,1421.0,9.1,5.2,0.774,residential,,original_finish,0.827,,,,,-33.6695569,151.3139225,way/1321998246
53 STANLEY STREET PEAKHURST,PEAKHURST,2210,GEORGES RIVER,1986,40,90.2,1.0,exact,32.9,2943.4,9.0,4.2,0.875,residential,,original_finish,0.893,,,,,-33.9635835,151.0617036,way/1082687286
83 ELY STREET REVESBY,REVESBY,2212,CANTERBURY-BANKSTOWN,1986,40,90.2,1.0,exact,51.8,1353.4,10.3,5.6,0.89,residential,,original_finish,0.831,,,,,-33.9437205,151.0119343,way/556651547
60-62 ALT STREET ASHFIELD,ASHFIELD,2131,INNER WEST,1986,40,90.2,1.0,exact,55.1,1954.6,11.0,5.6,0.891,residential,,original_finish,0.863,,,,,-33.8825797,151.1243253,way/699012266
2A DUMARESQ ROAD ROSE BAY,ROSE BAY,2029,WOOLLAHRA,1986,40,90.2,1.0,exact,45.2,1487.4,10.0,5.2,0.865,residential,2,original_finish,0.867,,,,,-33.8675481,151.2704915,way/875174153
788 NEW SOUTH HEAD ROAD ROSE BAY,ROSE BAY,2029,WOOLLAHRA,1986,40,90.2,1.0,exact,43.4,887.3,9.1,5.8,0.826,residential,,original_finish,0.932,,,,,-33.8664774,151.2713315,way/875174162
29 DUDLEY ROAD ROSE BAY,ROSE BAY,2029,WOOLLAHRA,1986,40,90.2,1.0,exact,35.7,848.5,9.0,5.4,0.727,residential,,original_finish,0.993,,,,,-33.8660548,151.2765359,way/875174181
